point_id,boundary_loss_weight,encoder_filters,learning_rate,model_architecture,pixel_loss_type,shape_loss_weight,train_loss,val_iou,test_iou,test_dice,test_precision,test_recall,test_pixel_acc,test_boundary_iou,test_boundary_f1,test_compactness,best_epoch,total_epochs,stopped_early,result_dir
21,0.3,micro,0.0005,resunet,bce_iou,0.1,0.44215616914961076,0.1434374898672104,2.5603991583161845e-12,2.5603991583161845e-12,1.0,2.5603991583161845e-12,0.8210156857967377,8.664059704052707e-12,1.7328117673381938e-11,1.0,2,12,True,grid_search_results/point_000021
22,0.3,micro,0.001,attunet,bce,0.2,0.17911632276243633,0.14230123907327652,2.5603991583161845e-12,2.5603991583161845e-12,1.0,2.5603991583161845e-12,0.8210156857967377,8.664059704052707e-12,1.7328117673381938e-11,1.0,1,11,True,grid_search_results/point_000022
23,0.3,micro,0.001,attunet,dice,0.1,0.18599216060505974,0.12597563490271568,2.5603991583161845e-12,2.5603991583161845e-12,1.0,2.5603991583161845e-12,0.8210156857967377,8.664059704052707e-12,1.7328117673381938e-11,1.0,10,20,True,grid_search_results/point_000023
24,0.3,micro,0.001,r2attunet,dice,0.2,0.28051556646823883,0.13202695176005363,0.15611401945352554,0.2694186344742775,0.17549358308315277,0.5806392133235931,0.4381764680147171,0.0255495673045516,0.04982192441821098,0.0012011907529085875,2,12,True,grid_search_results/point_000024
25,0.3,micro,0.001,seunet,bce,0.1,0.26019155979156494,0.44886015355587006,0.4506799131631851,0.6212843656539917,0.7431802153587341,0.5352501273155212,0.8835099637508392,0.14511104673147202,0.2534230798482895,0.00027883054281119257,50,50,False,grid_search_results/point_000025
26,0.5,shallow,0.0001,unetpp,bce,0.2,0.19961272014511955,0.2044050469994545,0.05363003350794315,0.1017395406961441,0.9972067177295685,0.05363641679286957,0.8304672241210938,0.004683974606450647,0.009306522202678025,0.0017945179715752602,8,18,True,grid_search_results/point_000026
27,0.5,shallow,0.0001,attunet,dice,0.0,0.22940650747881997,0.12596113234758377,2.5603991583161845e-12,2.5603991583161845e-12,1.0,2.5603991583161845e-12,0.8210156857967377,8.664059704052707e-12,1.7328117673381938e-11,1.0,3,12,True,grid_search_results/point_000027
28,0.5,shallow,0.0001,r2attunet,dice,0.0,0.29309603571891785,0.14747266471385956,2.5603991583161845e-12,2.5603991583161845e-12,1.0,2.5603991583161845e-12,0.8210156857967377,8.664059704052707e-12,1.7328117673381938e-11,1.0,4,14,True,grid_search_results/point_000028
29,0.5,shallow,0.0005,attunet,bce,0.0,0.11184838000271055,0.12601996958255768,2.5603991583161845e-12,2.5603991583161845e-12,1.0,2.5603991583161845e-12,0.8210156857967377,8.664059704052707e-12,1.7328117673381938e-11,1.0,7,17,True,grid_search_results/point_000029
30,0.5,shallow,0.0005,r2attunet,bce,0.1,0.17462373028198877,0.12939082086086273,0.1761668622493744,0.2989718168973923,0.18035933375358582,0.8826948404312134,0.2603333815932274,0.019450346007943153,0.038128407672047615,0.0038766622310504317,1,11,True,grid_search_results/point_000030
31,0.5,shallow,0.0005,r2attunet,bce,0.2,0.18646061917146048,0.13953182101249695,0.17882606387138367,0.3028658777475357,0.17917586863040924,0.98878014087677,0.18708737939596176,0.008622888009995222,0.01709817908704281,0.031224526464939117,2,12,True,grid_search_results/point_000031
32,0.5,shallow,0.0005,scse_unet,bce,0.0,0.319209055768119,0.1303674690425396,2.5603991583161845e-12,2.5603991583161845e-12,1.0,2.5603991583161845e-12,0.8210156857967377,8.664059704052707e-12,1.7328117673381938e-11,1.0,3,13,True,grid_search_results/point_000032
33,0.5,micro,0.0001,unetpp,bce,0.1,0.3197751111454434,0.19968049973249435,0.14915864914655685,0.259450800716877,0.8734883666038513,0.15239545702934265,0.8441085815429688,0.07317843660712242,0.13632477074861526,0.0004954548057867214,9,19,True,grid_search_results/point_000033
34,0.5,micro,0.0005,unet,dice,0.1,0.23933765954441494,0.21610897034406662,0.011834545526653528,0.023300359025597572,1.0,0.011834545526653528,0.8229929506778717,0.0002681901241885498,0.0005362199444789439,0.002866236260160804,8,18,True,grid_search_results/point_000034
35,0.5,micro,0.0005,attunet,bce,0.0,0.15515188872814178,2.7217551638759148e-05,2.5603991583161845e-12,2.5603991583161845e-12,1.0,2.5603991583161845e-12,0.8210156857967377,8.664059704052707e-12,1.7328117673381938e-11,1.0,1,11,True,grid_search_results/point_000035
